,losses,acc
229,tensor(0.0110),tensor(1.)
230,tensor(0.0320),tensor(1.)
231,tensor(0.0497),tensor(0.9800)
232,tensor(0.0753),tensor(0.9800)
233,tensor(0.0274),tensor(1.)
234,tensor(0.0242),tensor(1.)
235,tensor(0.0260),tensor(1.)
236,tensor(0.0353),tensor(1.)
237,tensor(0.0325),tensor(1.)
238,tensor(0.0443),tensor(1.)
239,tensor(0.0172),tensor(1.)
240,tensor(0.0255),tensor(1.)
241,tensor(0.0175),tensor(1.)
242,tensor(0.0226),tensor(1.)
243,tensor(0.0218),tensor(1.)
244,tensor(0.0117),tensor(1.)
245,tensor(0.0222),tensor(1.)
246,tensor(0.0730),tensor(0.9800)
247,tensor(0.0331),tensor(0.9800)
248,tensor(0.0271),tensor(1.)
249,tensor(0.0207),tensor(1.)
250,tensor(0.0187),tensor(1.)
251,tensor(0.0151),tensor(1.)
252,tensor(0.0284),tensor(1.)
253,tensor(0.0396),tensor(1.)
254,tensor(0.0198),tensor(1.)
255,tensor(0.0307),tensor(1.)
256,tensor(0.0241),tensor(1.)
257,tensor(0.0190),tensor(1.)
258,tensor(0.0164),tensor(1.)
259,tensor(0.0179),tensor(1.)
260,tensor(0.0159),tensor(1.)
261,tensor(0.0242),tensor(1.)
262,tensor(0.0199),tensor(1.)
263,tensor(0.0205),tensor(1.)
264,tensor(0.0402),tensor(0.9800)
265,tensor(0.0301),tensor(1.)
266,tensor(0.0352),tensor(1.)
267,tensor(0.0118),tensor(1.)
268,tensor(0.0126),tensor(1.)
269,tensor(0.0203),tensor(1.)
270,tensor(0.0254),tensor(1.)
271,tensor(0.0210),tensor(1.)
272,tensor(0.0135),tensor(1.)
273,tensor(0.0181),tensor(1.)
274,tensor(0.0120),tensor(1.)
275,tensor(0.0259),tensor(1.)
276,tensor(0.0315),tensor(1.)
277,tensor(0.0134),tensor(1.)
278,tensor(0.0257),tensor(1.)
279,tensor(0.0231),tensor(1.)
280,tensor(0.0272),tensor(1.)
281,tensor(0.0198),tensor(1.)
282,tensor(0.0245),tensor(1.)
283,tensor(0.0373),tensor(0.9800)
284,tensor(0.0269),tensor(1.)
285,tensor(0.0071),tensor(1.)
286,tensor(0.0130),tensor(1.)
287,tensor(0.0193),tensor(1.)
288,tensor(0.0137),tensor(1.)
289,tensor(0.0109),tensor(1.)
290,tensor(0.0278),tensor(1.)
291,tensor(0.0093),tensor(1.)
292,tensor(0.0090),tensor(1.)
293,tensor(0.0277),tensor(1.)
294,tensor(0.0173),tensor(1.)
295,tensor(0.0206),tensor(1.)
296,tensor(0.0233),tensor(1.)
297,tensor(0.0136),tensor(1.)
298,tensor(0.0226),tensor(1.)
299,tensor(0.0153),tensor(1.)
300,tensor(0.0109),tensor(1.)
301,tensor(0.0107),tensor(1.)
302,tensor(0.0294),tensor(0.9800)
303,tensor(0.0119),tensor(1.)
304,tensor(0.0159),tensor(1.)
305,tensor(0.0106),tensor(1.)
306,tensor(0.0121),tensor(1.)
307,tensor(0.0148),tensor(1.)
308,tensor(0.0205),tensor(1.)
309,tensor(0.0097),tensor(1.)
310,tensor(0.0201),tensor(1.)
311,tensor(0.0197),tensor(1.)
312,tensor(0.0226),tensor(1.)
313,tensor(0.0213),tensor(1.)
314,tensor(0.0183),tensor(1.)
315,tensor(0.0226),tensor(1.)
316,tensor(0.0228),tensor(1.)
317,tensor(0.0263),tensor(1.)
318,tensor(0.0071),tensor(1.)
319,tensor(0.0128),tensor(1.)
320,tensor(0.0077),tensor(1.)
321,tensor(0.0147),tensor(1.)
322,tensor(0.0264),tensor(0.9800)
323,tensor(0.0112),tensor(1.)
324,tensor(0.0153),tensor(1.)
325,tensor(0.0242),tensor(1.)
326,tensor(0.0228),tensor(1.)
327,tensor(0.0235),tensor(1.)
328,tensor(0.0130),tensor(1.)
329,tensor(0.0098),tensor(1.)
330,tensor(0.0053),tensor(1.)
331,tensor(0.0236),tensor(1.)
332,tensor(0.0088),tensor(1.)
333,tensor(0.0198),tensor(1.)
334,tensor(0.0140),tensor(1.)
335,tensor(0.0123),tensor(1.)
336,tensor(0.0181),tensor(1.)
337,tensor(0.0106),tensor(1.)
338,tensor(0.0126),tensor(1.)
339,tensor(0.0138),tensor(1.)
340,tensor(0.0307),tensor(0.9800)
341,tensor(0.0073),tensor(1.)
342,tensor(0.0220),tensor(1.)
343,tensor(0.0170),tensor(1.)
344,tensor(0.0158),tensor(1.)
345,tensor(0.0120),tensor(1.)
346,tensor(0.0176),tensor(1.)
347,tensor(0.0113),tensor(1.)
348,tensor(0.0107),tensor(1.)
349,tensor(0.0057),tensor(1.)
350,tensor(0.0147),tensor(1.)
351,tensor(0.0110),tensor(1.)
352,tensor(0.0226),tensor(1.)
353,tensor(0.0088),tensor(1.)
354,tensor(0.0111),tensor(1.)
355,tensor(0.0147),tensor(1.)
356,tensor(0.0101),tensor(1.)
357,tensor(0.0118),tensor(1.)
358,tensor(0.0196),tensor(1.)
359,tensor(0.0074),tensor(1.)
360,tensor(0.0072),tensor(1.)
361,tensor(0.0173),tensor(1.)
362,tensor(0.0068),tensor(1.)
363,tensor(0.0117),tensor(1.)
364,tensor(0.0366),tensor(0.9800)
365,tensor(0.0095),tensor(1.)
366,tensor(0.0135),tensor(1.)
367,tensor(0.0052),tensor(1.)
368,tensor(0.0047),tensor(1.)
369,tensor(0.0085),tensor(1.)
370,tensor(0.0143),tensor(1.)
371,tensor(0.0072),tensor(1.)
372,tensor(0.0173),tensor(1.)
373,tensor(0.0221),tensor(1.)
374,tensor(0.0118),tensor(1.)
375,tensor(0.0159),tensor(1.)
376,tensor(0.0205),tensor(1.)
377,tensor(0.0153),tensor(1.)
378,tensor(0.0076),tensor(1.)
379,tensor(0.0102),tensor(1.)
380,tensor(0.0112),tensor(1.)
381,tensor(0.0042),tensor(1.)
382,tensor(0.0101),tensor(1.)
383,tensor(0.0206),tensor(1.)
384,tensor(0.0104),tensor(1.)
385,tensor(0.0124),tensor(1.)
386,tensor(0.0106),tensor(1.)
387,tensor(0.0107),tensor(1.)
388,tensor(0.0104),tensor(1.)
389,tensor(0.0057),tensor(1.)
390,tensor(0.0284),tensor(0.9800)
391,tensor(0.0172),tensor(1.)
392,tensor(0.0229),tensor(1.)
393,tensor(0.0068),tensor(1.)
394,tensor(0.0203),tensor(1.)
395,tensor(0.0123),tensor(1.)
396,tensor(0.0026),tensor(1.)
397,tensor(0.0088),tensor(1.)
398,tensor(0.0050),tensor(1.)
399,tensor(0.0097),tensor(1.)
